TrajectoryCluster,ExpectancyFamily,MotifCount,TotalOccurrences,MeanNextRunLength,MeanImmediateFailurePct,MeanDirectionalContinuationPct,Archetype
0,DegradationCycle,12,26,0.5,16.666666666666668,0.0,Degradation / Exhaustion Collapse
0,ImmediateFailure,11,21,1.992727272727273,66.53090909090909,0.0,Degradation / Exhaustion Collapse
0,RotationalChurn,1,1,0.0,0.0,0.0,Degradation / Exhaustion Collapse
1,ImmediateFailure,11,24,1.3436363636363635,79.90545454545455,0.0,Fragile Rotational Churn
1,PersistentNonDirectional,1,1,7.26,21.05,0.0,Fragile Rotational Churn
1,RotationalChurn,4,12,0.0,0.0,0.0,Fragile Rotational Churn
2,DegradationCycle,5,19,0.0,0.0,0.0,Persistent Non-Directional Compression
2,Mixed,7,9,0.7142857142857143,0.0,0.0,Persistent Non-Directional Compression
2,PersistentNonDirectional,16,38,7.114375,24.436875,0.0,Persistent Non-Directional Compression
2,RotationalChurn,4,30,0.0,0.0,0.0,Persistent Non-Directional Compression
3,DegradationCycle,1,1,0.0,0.0,0.0,Directional Continuation / Sponsor Release
3,DirectionalContinuation,3,8,3.1300000000000003,25.0,75.0,Directional Continuation / Sponsor Release
3,ImmediateFailure,3,3,1.67,66.67,33.33,Directional Continuation / Sponsor Release
3,Mixed,5,18,0.0,0.0,0.0,Directional Continuation / Sponsor Release
4,Mixed,1,186,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium
