Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection
ES,xApvaV01StateLog_ES.csv,49,2026-04-06 10:40:00,Unresolved,Unresolved->Unresolved->Degrading->Unresolved,Stable Compression Basin,Exact,1.0,1.2954618442339936,0.6666666666666666,0.6,0.0,0.0,0.0612328692175015,0.0833333333333333,0.5857003014020421,0.533382278426186,CompressionPressure,0.5857003014020421,6637.5,6640.75,6634.0,6635.75,Up,1,6637.75,6.75,7.928571428571429,5,6626.75,-9.0,-1.135135135135135,-9.0,-1.135135135135135,0.25,-9.75,0.0315315315315315,-1.2297297297297296,0,1
ES,xApvaV01StateLog_ES.csv,50,2026-04-06 10:45:00,Unresolved,Unresolved->Degrading->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.1567796494427114,0.5555555555555556,0.7,0.0,0.0,0.0956701692006535,0.0694444444444444,0.6638123830209416,0.4613788816489264,CompressionPressure,0.6638123830209416,6635.5,6636.0,6631.5,6635.0,Down,-1,6635.75,4.5,7.875,5,6631.0,-4.0,-0.5079365079365079,4.0,0.5079365079365079,9.0,0.0,1.1428571428571428,0.0,1,1
ES,xApvaV01StateLog_ES.csv,52,2026-04-06 10:55:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.1567796494427114,0.5555555555555556,0.7,0.0,0.0,0.0956701692006535,0.0694444444444444,0.6638123830209416,0.4613788816489264,CompressionPressure,0.6638123830209416,6632.0,6633.75,6628.0,6629.5,Down,-1,6632.0,5.75,7.910714285714286,5,6643.25,13.75,1.7381489841986455,-13.75,-1.7381489841986455,3.5,-15.5,0.4424379232505643,-1.959367945823928,0,1
ES,xApvaV01StateLog_ES.csv,57,2026-04-06 11:20:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.2954618442339936,0.2222222222222222,0.6,0.0,0.0,0.1098439803286126,0.0277777777777777,0.6968114125131533,0.3667156117595194,CompressionPressure,0.6968114125131533,6637.5,6645.0,6636.75,6643.25,Up,1,6637.25,8.25,8.017857142857142,5,6642.5,-0.75,-0.0935412026726058,-0.75,-0.0935412026726058,7.0,-2.25,0.8730512249443207,-0.2806236080178174,0,1
ES,xApvaV01StateLog_ES.csv,58,2026-04-06 11:25:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,0.8812908992278072,0.1111111111111111,0.7,0.0,0.0,0.1653733877500932,0.0138888888888888,0.7921415410204843,0.2344490508727494,CompressionPressure,0.7921415410204843,6643.25,6650.25,6641.75,6647.75,Up,1,6643.25,8.5,7.357142857142857,5,6645.0,-2.75,-0.3737864077669903,-2.75,-0.3737864077669903,2.5,-6.75,0.3398058252427184,-0.9174757281553398,0,1
ES,xApvaV01StateLog_ES.csv,80,2026-04-06 13:15:00,Unresolved,Unresolved->Degrading->Degrading->Unresolved,Stable Compression Basin,Exact,1.0,1.1567796494427114,0.2222222222222222,0.7,0.0,0.0,0.1321285025339868,0.0277777777777777,0.747145716354275,0.3363788816489264,CompressionPressure,0.747145716354275,6648.0,6650.5,6647.0,6648.25,Down,-1,6648.25,3.5,4.589285714285714,5,6651.0,2.75,0.5992217898832685,-2.75,-0.5992217898832685,1.75,-5.25,0.3813229571984435,-1.143968871595331,0,1
ES,xApvaV01StateLog_ES.csv,134,2026-04-07 10:15:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.2954618442339936,0.4444444444444444,0.6,0.0,0.0,0.085538424773057,0.0555555555555555,0.6412558569575977,0.4500489450928527,CompressionPressure,0.6412558569575977,6627.5,6629.5,6624.0,6625.25,Down,-1,6627.5,5.5,8.267857142857142,5,6637.0,11.75,1.4211663066954645,-11.75,-1.4211663066954645,8.0,-21.25,0.9676025917926566,-2.5701943844492443,0,1
ES,xApvaV01StateLog_ES.csv,147,2026-04-07 11:20:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.2954618442339936,0.2222222222222222,0.6,0.0,0.0,0.1098439803286126,0.0277777777777777,0.6968114125131533,0.3667156117595194,CompressionPressure,0.6968114125131533,6627.5,6631.75,6626.0,6631.25,Up,1,6627.5,5.75,6.964285714285714,5,6617.25,-14.0,-2.01025641025641,-14.0,-2.01025641025641,1.25,-17.25,0.1794871794871795,-2.476923076923077,0,1
ES,xApvaV01StateLog_ES.csv,148,2026-04-07 11:25:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,0.8812908992278072,0.1111111111111111,0.7,0.0,0.0,0.1653733877500932,0.0138888888888888,0.7921415410204843,0.2344490508727494,CompressionPressure,0.7921415410204843,6631.25,6632.5,6624.0,6625.0,Up,1,6631.25,8.5,7.178571428571429,5,6613.0,-12.0,-1.671641791044776,-12.0,-1.671641791044776,1.75,-13.0,0.2437810945273631,-1.8109452736318408,0,1
ES,xApvaV01StateLog_ES.csv,172,2026-04-07 13:25:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.2954618442339936,0.2222222222222222,0.6,0.0,0.0,0.1098439803286126,0.0277777777777777,0.6968114125131533,0.3667156117595194,CompressionPressure,0.6968114125131533,6658.75,6658.75,6653.75,6655.25,Down,-1,6658.75,5.0,13.196428571428571,5,6663.5,8.25,0.6251691474966171,-8.25,-0.6251691474966171,0.25,-18.25,0.0189445196211096,-1.3829499323410013,0,1
